Unit_id;Titel
143006;Programmierung I (Praxis) Übg.
143009;Datenbanksysteme
143010;Programmierung II
143013;Software Engineering I
143019;Software Engineering II
143021;IT-Projektmanagement
143033;Ausgewählte Themen aus dem Medienbereich
143034;Ausgewählte Themen aus dem Softwarebereich
143039;Betriebssysteme Übg.
143040;Datenbanksysteme Übg.
143041;Programmierung II Übg.
143044;Software Engineering I Übg.
143050;Software Engineering II Übg.
143051;Human-Computer Interaction Übg.
143061;Ausgewählte Themen aus dem Medienbereich Übg.
143062;Ausgewählte Themen aus dem Softwarebereich Übg.
143063;Bericht Übg.
143064;Mathematik I
143065;Mathematik I Übg.
143066;Mathematik II
143067;Mathematik II Übg.
143069;Verteilte Systeme Übg.
143097;Cross Plattform Mobile Development
143098;Cross Plattform Mobile Development Übg.
143099;Maya
143100;Maya Übg.
143101;C++ für Java-Programmierer
143102;C++ für Java-Programmierer Übg.
143105;Grundlagen wissenschaftlichen Arbeitens
143106;Grundlagen wissenschaftlichen Arbeitens Übg.
143107;Video-Compositing
143108;Video-Compositing Übg.
143109;Videoproduktion für Online-Video-Angebote
143110;Videoproduktion für Online-Video-Angebote Übg.
143111;Mobile Application Development - Android 4.0
143112;Mobile Application Development - Android 4.0 Übg.
143113;Funktionale Programmierung mit Clojure
143114;Funktionale Programmierung mit Clojure Übg.
143115;Grundlagen professioneller Kameraarbeit
143116;Grundlagen professioneller Kameraarbeit Übg.
143117;Produktion eines Musikclips
143118;Produktion eines Musikclips Übg.
143119;Funktionale und Reaktive Programmierung
143120;Funktionale und Reaktive Programmierung Übg.
143125;Mobile Application Development mit Android
143126;Mobile Application Development mit Android Übg.
143127;AngularJS - JavaScript MV* Framework: Einstieg und fortgeschrittene Konzepte für dynamische Single Page Anwendungen
143128;AngularJS - JavaScript MV* Framework: Einstieg und fortgeschrittene Konzepte für dynamische Single Page Anwendungen Übg.
143129;Effiziente Software entwickeln mit C++
143130;Effiziente Software entwickeln mit C++ Übg.
143132;Grundlagen der Theoretischen Informatik
143133;Mediendesign Grundlagen
143135;Technische Grundlagen der Informatik
143137;Programmierung I
143140;Algorithmen und Datenstrukturen
143144;Betriebssysteme
143147;Computergrafik Grundlagen
143149;Medientechnologien
143151;Verteilte Systeme
143153;Web Engineering I
143156;Web Engineering II
143158;Human–Computer Interaction
143162;Praxisprojekt Übg.
143163;Projekt
143164;Interaktions- und Interface-Design
143165;Software Engineering: Architekturen und Werkzeuge
143166;3D Web Graphics
143167;Softwarequalität und -test
143168;Betriebswirtschaftslehre
143169;Medienproduktion und -distribution
143170;Effiziente Software Entwickeln mit C++
143172;Anwendungsentwicklung  für IOS-Geräte
143173;Mobile Anwendungsentwicklung
143174;Visual and Scientific Computing
143175;Spieleentwicklung und Creative Coding
143176;Signalverarbeitung für Audio, Bild und Video
143177;Maschinelles Lernen
143178;Aktuelle Webtechnologien: Frameworks und Tools
143179;Aktuelle Themen
143181;Cloud Computing